,0,1,2
0,"RT @UNWatch: 🇪🇬Egypt sentences TikTok star to 10 years in prison on trumped-up charges of ""inciting debauchery.""

🇪🇬Egypt sits on @UNESCO's…",0.0,0.0
1,RT @MEK_Iran: #NCRI &amp;(#PMOI/#MEK #Iran)Lawyers and countless civil society activists have been imprisoned for pushing for women’s rights an…,0.0,0.5
2,"RT @dawa_agenda: The right to  Equity, Equality and maintenance of human Dignity of LGBTIQ+ persons is important #LGBTIQ+Rights are #HumanR…",0.22857142857142856,0.5452380952380952
3,"@UKinUganda @JamesDuddridge @G7 @UKParliament @DominicRaab @BorisJohnson UK🇬🇧we are not after  democracy discussions, we want accountability for Human Rights violations by museveni's illegitimate government and audit for the concluded election. 🇺🇬
#UgandaIsBleeding
#StandUp4HumanRights
 @JamesDuddridge @G7 @UKParliament @DominicRaab @BorisJohnson https://t.co/Mi5zIBnQ68",0.0,0.1
4,RT @RasMubarak: Egregious human rights violations. The IGP’s continued stay in office has become untenable. #FixTheCountry,0.0,0.1
5,"High numbers of Chinese students at Australian universities have created an environment of self-censorship with lecturers avoiding criticism of Beijing and Chinese students staying silent in fear of harassment, Human Rights Watch said.
 https://t.co/EXgUafc5Lf",0.02666666666666667,0.12333333333333331
6,"RT @MEK_Iran: #NCRI &amp;(#PMOI/#MEK #Iran)The HC for #HumanRights gave an update on the status of human rights in #Iran. Michelle Bachelet, Un…",0.0,0.1
7,"RT @MEK_Iran: Raisi Urges Highly Educated Iranians to Return: You know that due to extremism, they have either not been provided with the o…",0.0175,0.45749999999999996
8,RT @MEK_Iran: The remarkable element of the narrative is that a man who was one of the main causes for #Iran people fleeing the nation due…,0.4583333333333333,0.5416666666666666
9,"RT @MEK_Iran: Ebrahim Raisi Urges Highly Educated Iranians to Return After Forcing Them to Flee, The issue of brain drain&amp;Iranian migration…",0.16,0.5399999999999999
10,"@UKinUganda UK🇬🇧we are not after  democracy discussions, we want accountability for Human Rights violations by museveni's illegitimate government and audit for the concluded election. 🇺🇬
#UgandaIsBleeding
#StandUp4HumanRights
 @JamesDuddridge @G7 @UKParliament @DominicRaab @BorisJohnson https://t.co/X9is6BD3FE",0.0,0.1
11,"RT @AskAnshul: What are our Jawans supposed to do?

First, they have to fight the terrorists and save the media persons.

After a terrorist…",0.25,0.3333333333333333
12,RT @StockholmCF: European Court of Human Rights rules #Turkey violated top judge’s rights #HumanRights #ErdalTercan https://t.co/Dut39c7adH,0.16666666666666666,0.19999999999999998
13,@jasonshinn10 I don’t like it personally but my personal feelings do not matter it is a right that the Supreme Court has upheld!  Symbols are just that and should never be held higher than human rights!,0.12142857142857141,0.34714285714285714
14,RT @SenCortezMasto: Reproductive rights are human rights. RT if you agree.,0.0,0.1
15,"RT @DrOliverLewis: Great intervention by @CommissionerHR, who says an evolution is necessary in the protection afforded by the ECHR to pers…",0.4,0.875
16,"RT @OccupyDemocrats: BREAKING: Fox ""News"" has agreed to pay a million-dollar fine for human rights violations. 

SHUT IT DOWN ALREADY! http…",0.07407407407407407,0.2962962962962963
17,"@UKinUganda @JamesDuddridge @G7 @UKParliament @DominicRaab @BorisJohnson UK🇬🇧we are not after  democracy discussions, we want accountability for Human Rights violations by museveni's illegitimate government and audit for the concluded election. 🇺🇬
#UgandaIsBleeding
#StandUp4HumanRights
 @JamesDuddridge @G7 @UKParliament @DominicRaab @BorisJohnson https://t.co/2hmbunLOIz",0.0,0.1
18,RT @EdenWogayehu: Ethiopian + Eritrean troops have violated every international + humanitarian law and don’t respect that #CiviliansAreNotT…,0.0,0.0
19,"RT @maklokgai: The Human Rights Campaign @HRC，在这儿成“支持儿童变性”团体。
信息来源是极右推友Paul Joseph Watson，而他的来源是https://t.co/LqyEr7vRcA，大概率又是呐喊主流媒体欺骗大众，只有他…",0.0,0.1
